ANGLE | ANGLE_BIN |    SIN_FLOAT |  Q2.8_DEC |   Q2.8_BIN
  194 | 011000010 |  -0.24192190 |       -62 | 1111000010
  195 | 011000011 |  -0.25881905 |       -66 | 1110111110
  196 | 011000100 |  -0.27563736 |       -71 | 1110111001
  197 | 011000101 |  -0.29237170 |       -75 | 1110110101
  198 | 011000110 |  -0.30901699 |       -79 | 1110110001
  199 | 011000111 |  -0.32556815 |       -83 | 1110101101
  200 | 011001000 |  -0.34202014 |       -88 | 1110101000
  201 | 011001001 |  -0.35836795 |       -92 | 1110100100
  202 | 011001010 |  -0.37460659 |       -96 | 1110100000
  203 | 011001011 |  -0.39073113 |      -100 | 1110011100
  204 | 011001100 |  -0.40673664 |      -104 | 1110011000
  205 | 011001101 |  -0.42261826 |      -108 | 1110010100
  206 | 011001110 |  -0.43837115 |      -112 | 1110010000
  207 | 011001111 |  -0.45399050 |      -116 | 1110001100
  208 | 011010000 |  -0.46947156 |      -120 | 1110001000
  209 | 011010001 |  -0.48480962 |      -124 | 1110000100
  210 | 011010010 |  -0.50000000 |      -128 | 1110000000
  211 | 011010011 |  -0.51503807 |      -132 | 1101111100
  212 | 011010100 |  -0.52991926 |      -136 | 1101111000
  213 | 011010101 |  -0.54463904 |      -139 | 1101110101
  214 | 011010110 |  -0.55919290 |      -143 | 1101110001
  215 | 011010111 |  -0.57357644 |      -147 | 1101101101
  216 | 011011000 |  -0.58778525 |      -150 | 1101101010
  217 | 011011001 |  -0.60181502 |      -154 | 1101100110
  218 | 011011010 |  -0.61566148 |      -158 | 1101100010
  219 | 011011011 |  -0.62932039 |      -161 | 1101011111
  220 | 011011100 |  -0.64278761 |      -165 | 1101011011
  221 | 011011101 |  -0.65605903 |      -168 | 1101011000
  222 | 011011110 |  -0.66913061 |      -171 | 1101010101
  223 | 011011111 |  -0.68199836 |      -175 | 1101010001
  224 | 011100000 |  -0.69465837 |      -178 | 1101001110
  225 | 011100001 |  -0.70710678 |      -181 | 1101001011
  226 | 011100010 |  -0.71933980 |      -184 | 1101001000
  227 | 011100011 |  -0.73135370 |      -187 | 1101000101
  228 | 011100100 |  -0.74314483 |      -190 | 1101000010
  229 | 011100101 |  -0.75470958 |      -193 | 1100111111
  230 | 011100110 |  -0.76604444 |      -196 | 1100111100
  231 | 011100111 |  -0.77714596 |      -199 | 1100111001
  232 | 011101000 |  -0.78801075 |      -202 | 1100110110
  233 | 011101001 |  -0.79863551 |      -204 | 1100110100
  234 | 011101010 |  -0.80901699 |      -207 | 1100110001
  235 | 011101011 |  -0.81915204 |      -210 | 1100101110
  236 | 011101100 |  -0.82903757 |      -212 | 1100101100
  237 | 011101101 |  -0.83867057 |      -215 | 1100101001
  238 | 011101110 |  -0.84804810 |      -217 | 1100100111
  239 | 011101111 |  -0.85716730 |      -219 | 1100100101
  240 | 011110000 |  -0.86602540 |      -222 | 1100100010
  241 | 011110001 |  -0.87461971 |      -224 | 1100100000
  242 | 011110010 |  -0.88294759 |      -226 | 1100011110
  243 | 011110011 |  -0.89100652 |      -228 | 1100011100
  244 | 011110100 |  -0.89879405 |      -230 | 1100011010
  245 | 011110101 |  -0.90630779 |      -232 | 1100011000
  246 | 011110110 |  -0.91354546 |      -234 | 1100010110
  247 | 011110111 |  -0.92050485 |      -236 | 1100010100
  248 | 011111000 |  -0.92718385 |      -237 | 1100010011
  249 | 011111001 |  -0.93358043 |      -239 | 1100010001
  250 | 011111010 |  -0.93969262 |      -241 | 1100001111
  251 | 011111011 |  -0.94551858 |      -242 | 1100001110
  252 | 011111100 |  -0.95105652 |      -243 | 1100001101
  253 | 011111101 |  -0.95630476 |      -245 | 1100001011
  254 | 011111110 |  -0.96126170 |      -246 | 1100001010
  255 | 011111111 |  -0.96592583 |      -247 | 1100001001
  256 | 100000000 |  -0.97029573 |      -248 | 1100001000
  257 | 100000001 |  -0.97437006 |      -249 | 1100000111
  258 | 100000010 |  -0.97814760 |      -250 | 1100000110
  259 | 100000011 |  -0.98162718 |      -251 | 1100000101
  260 | 100000100 |  -0.98480775 |      -252 | 1100000100
  261 | 100000101 |  -0.98768834 |      -253 | 1100000011
  262 | 100000110 |  -0.99026807 |      -254 | 1100000010
  263 | 100000111 |  -0.99254615 |      -254 | 1100000010
  264 | 100001000 |  -0.99452190 |      -255 | 1100000001
  265 | 100001001 |  -0.99619470 |      -255 | 1100000001
  266 | 100001010 |  -0.99756405 |      -255 | 1100000001
  267 | 100001011 |  -0.99862953 |      -256 | 1100000000
  268 | 100001100 |  -0.99939083 |      -256 | 1100000000
  269 | 100001101 |  -0.99984770 |      -256 | 1100000000
  270 | 100001110 |  -1.00000000 |      -256 | 1100000000
  271 | 100001111 |  -0.99984770 |      -256 | 1100000000
  272 | 100010000 |  -0.99939083 |      -256 | 1100000000
  273 | 100010001 |  -0.99862953 |      -256 | 1100000000
  274 | 100010010 |  -0.99756405 |      -255 | 1100000001
